phase,exp,family,n_feat,graph,seed,val_auprc,val_auroc,val_dice
C_feature_ablation,full,hgb,39.0,none,0,0.508480553024313,0.8538187050838435,0.4549319727891157
C_feature_ablation,full,logreg,39.0,none,0,0.4988611588108522,0.8588800904977376,0.4767006802721088
C_feature_ablation,+node_prior,hgb,40.0,none,0,0.45784829803142946,0.8428641535799841,0.425765306122449
C_feature_ablation,+node_prior,logreg,40.0,none,0,0.44569595578093624,0.8399695568272558,0.3793367346938776
C_feature_ablation,-is_ipsilateral,hgb,38.0,none,0,0.4515052934449514,0.8306245009315945,0.4436224489795918
C_feature_ablation,-is_ipsilateral,logreg,38.0,none,0,0.474201898111497,0.8397574527548576,0.4588435374149659
C_feature_ablation,-graph_stats,hgb,35.0,none,0,0.44552208727048004,0.8427643398988556,0.45612244897959187
C_feature_ablation,-graph_stats,logreg,35.0,none,0,0.4620995250054957,0.8510655110460474,0.46386054421768713
C_feature_ablation,-within_z,hgb,26.0,none,0,0.49121821746928507,0.8551370774554166,0.4405612244897959
C_feature_ablation,-within_z,logreg,26.0,none,0,0.49119303086462146,0.8572248469523558,0.4767006802721088
C_feature_ablation,-missing_indicators,hgb,32.0,none,0,0.5088308832233832,0.8546088967261112,0.46326530612244904
C_feature_ablation,-missing_indicators,logreg,32.0,none,0,0.5002140199245979,0.8614710873036998,0.46777210884353737
C_feature_ablation,A_only,hgb,24.0,none,0,0.43730217739623745,0.8358896726111258,0.4079081632653061
C_feature_ablation,A_only,logreg,24.0,none,0,0.4438737822022617,0.8363845821133883,0.43137755102040826
C_feature_ablation,B_only,hgb,20.0,none,0,0.3565992189027202,0.8039784069736491,0.32721088435374146
C_feature_ablation,B_only,logreg,20.0,none,0,0.3800428397815771,0.8058041655576258,0.3662414965986395
C_feature_ablation,raw_minimal,hgb,14.0,none,0,0.38447599889301953,0.8268482166622305,0.42568027210884357
C_feature_ablation,raw_minimal,logreg,14.0,none,0,0.42675577113401914,0.8310403912696299,0.44719387755102036
