check,pass,detail
test subjects never used for training,True,0 overlaps
test subjects never used for validation/selection,True,0 overlaps
train/val disjoint,True,
imputation medians fitted on train only,True,Features.fit(TR_IDS)
standardisation mu/sd fitted on train only,True,
node prior computed from train labels only (and then EXCLUDED),True,
graph hyperparameters chosen on val only,True,"PHASE D grid, val AUPRC"
missing-modality strategy chosen on val only,True,selected S2_moddropout_r0.3
fusion chosen on val only,True,selected FC_oof_stacker
stacker trained on OUT-OF-FOLD train predictions,True,5 subject-level folds inside train; preprocessing refit per fold
calibration fitted on train-OOF only,True,
ensemble size chosen before test,True,
resected / engel never used as feature or target,True,
oracle k used only inside the metric,True,topk_dice() is the sole consumer of y.sum()
predictions.csv will contain no oracle-k thresholding,True,
final config written to disk before test,True,
