model,auprc,auroc,topk_dice
hgb d=4 lr=0.03 it=200,0.5085,0.8538,0.4549
hgb d=3 lr=0.03 it=200,0.5022,0.8565,0.4531
logreg C=0.3 cw=None,0.4999,0.8598,0.4707
logreg C=1.0 cw=None,0.4992,0.8604,0.4719
logreg C=0.1 cw=None,0.4989,0.8589,0.4767
logreg C=3.0 cw=None,0.4985,0.8604,0.4791
logreg C=0.03 cw=None,0.4983,0.8583,0.4838
hgb d=3 lr=0.03 it=400,0.4974,0.8553,0.4579
logreg C=0.01 cw=None,0.4969,0.8577,0.4838
hgb d=3 lr=0.06 it=200,0.4957,0.8523,0.4552
logreg C=0.01 cw=balanced,0.4924,0.857,0.4767
logreg C=0.03 cw=balanced,0.4917,0.8576,0.4767
hgb d=4 lr=0.03 it=400,0.4905,0.8503,0.4633
logreg C=0.1 cw=balanced,0.4886,0.8577,0.4767
hgb d=4 lr=0.06 it=200,0.4875,0.8512,0.4442
logreg C=0.3 cw=balanced,0.4864,0.8573,0.4588
hgb d=2 lr=0.03 it=400,0.4855,0.8555,0.4528
logreg C=1.0 cw=balanced,0.4829,0.8566,0.4678
hgb d=2 lr=0.03 it=200,0.4825,0.8572,0.4609
logreg C=3.0 cw=balanced,0.4796,0.8563,0.4618
hgb d=2 lr=0.06 it=200,0.4715,0.8541,0.4448
hgb d=3 lr=0.06 it=400,0.4654,0.8445,0.448
hgb d=4 lr=0.06 it=400,0.461,0.8425,0.4299
hgb d=2 lr=0.06 it=400,0.4602,0.8505,0.4508
