target,covariate,rho,p
disagreement,sim_confidence,-0.556,0.002120792617202542
disagreement,B_available,-0.137,0.4868888298429894
disagreement,A_missing_frac,0.146,0.45728722749206496
disagreement,k,0.258,0.18485015019814846
disagreement,mean_edge_weight,-0.039,0.842183171520217
disagreement,graph_density,0.107,0.5879269343114055
disagreement,model_pred_spread,-0.433,0.021193445704179168
sim_dice,sim_confidence,0.701,3.2157864493901273e-05
sim_dice,B_available,0.044,0.8226315139184628
sim_dice,A_missing_frac,0.102,0.6056954503764337
sim_dice,k,-0.364,0.05653684611692931
sim_dice,mean_edge_weight,-0.163,0.4074576417316127
sim_dice,graph_density,0.163,0.4067514073922526
sim_dice,model_pred_spread,0.48,0.009793558943124652
dice_gap,sim_confidence,-0.713,2.0459621036496072e-05
dice_gap,B_available,0.121,0.5384366876854663
dice_gap,A_missing_frac,-0.074,0.7084869317743925
dice_gap,k,0.361,0.059087632665095896
dice_gap,mean_edge_weight,0.225,0.24944302058811507
dice_gap,graph_density,-0.054,0.7865802056277987
dice_gap,model_pred_spread,-0.221,0.25808702390448507
model_dice,sim_confidence,0.067,0.736067074099339
model_dice,B_available,0.232,0.23584912223911744
model_dice,A_missing_frac,-0.166,0.39808292766204045
model_dice,k,0.084,0.6710709277644106
model_dice,mean_edge_weight,0.108,0.5843874236261501
model_dice,graph_density,0.137,0.4884023950449967
model_dice,model_pred_spread,0.599,0.0007483930813314228
