subject_id,k,dice_final,dice_model,dice_sim,worst_positive_rank,best_positive_rank,sim_confidence,B_available,site,A_missing_frac
sub-027,3,0.0,0.0,0.0,14.0,3.0,0.3151,0,site-0,0.11029411764705882
sub-002,4,0.25,0.5,0.0,12.0,0.0,0.201,0,site-1,0.049019607843137254
sub-084,4,0.25,0.25,0.25,17.0,0.0,0.2625,1,site-0,0.049019607843137254
sub-066,3,0.3333333333333333,0.6666666666666666,0.0,23.0,2.0,0.3186,1,site-3,0.061274509803921566
sub-004,6,0.5,0.6666666666666666,0.5,22.0,0.0,0.909,1,site-2,0.07107843137254902
sub-009,4,0.5,0.75,0.25,10.0,0.0,0.7663,1,site-2,0.06372549019607843
sub-079,7,0.5714285714285714,0.14285714285714285,0.7142857142857143,29.0,0.0,0.8519,1,site-0,0.07107843137254902
sub-069,7,0.5714285714285714,0.2857142857142857,0.7142857142857143,15.0,0.0,0.7655,0,site-0,0.06862745098039216
sub-094,7,0.5714285714285714,0.5714285714285714,0.42857142857142855,26.0,0.0,0.2917,1,site-3,0.04411764705882353
sub-135,5,0.6,0.6,0.0,13.0,1.0,0.2109,1,site-0,0.07107843137254902
sub-055,5,0.6,0.6,0.0,19.0,0.0,0.2003,1,site-0,0.0661764705882353
sub-057,6,0.6666666666666666,0.6666666666666666,0.8333333333333334,17.0,0.0,0.8041,1,site-3,0.0784313725490196
sub-081,3,0.6666666666666666,0.3333333333333333,0.0,15.0,0.0,0.1713,1,site-3,0.05392156862745098
sub-020,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,17.0,0.0,0.8701,0,site-1,0.06372549019607843
sub-132,3,0.6666666666666666,0.6666666666666666,0.0,4.0,0.0,0.1297,0,site-1,0.0784313725490196
sub-113,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,3.0,0.0,0.875,1,site-1,0.051470588235294115
sub-119,3,0.6666666666666666,0.6666666666666666,0.3333333333333333,24.0,0.0,0.2683,0,site-2,0.058823529411764705
sub-112,6,0.6666666666666666,0.5,0.8333333333333334,16.0,0.0,0.8122,1,site-2,0.061274509803921566
sub-003,7,0.7142857142857143,0.5714285714285714,0.7142857142857143,9.0,0.0,0.9439,1,site-2,0.0661764705882353
sub-104,4,0.75,0.75,0.5,4.0,0.0,0.7704,1,site-3,0.058823529411764705
sub-048,7,0.8571428571428571,0.7142857142857143,0.7142857142857143,7.0,0.0,0.7166,1,site-1,0.058823529411764705
sub-083,7,0.8571428571428571,0.8571428571428571,0.5714285714285714,20.0,0.0,0.7374,0,site-1,0.07107843137254902
sub-133,7,0.8571428571428571,0.8571428571428571,0.2857142857142857,10.0,0.0,0.2512,1,site-3,0.049019607843137254
sub-022,5,1.0,0.6,0.8,4.0,0.0,0.8022,1,site-0,0.0661764705882353
sub-076,4,1.0,0.75,0.75,3.0,0.0,0.8636,1,site-3,0.056372549019607844
sub-061,4,1.0,1.0,0.5,3.0,0.0,0.914,1,site-0,0.07107843137254902
sub-016,3,1.0,0.6666666666666666,1.0,2.0,0.0,0.7085,1,site-1,0.061274509803921566
sub-118,4,1.0,0.75,0.75,3.0,0.0,0.7368,1,site-3,0.0661764705882353
