config,family,n_feat,auprc,auroc,topk_dice
-missing_indicators,hgb,32,0.5088,0.8546,0.4633
full,hgb,39,0.5085,0.8538,0.4549
-missing_indicators,logreg,32,0.5002,0.8615,0.4678
full,logreg,39,0.4989,0.8589,0.4767
-within_z,hgb,26,0.4912,0.8551,0.4406
-within_z,logreg,26,0.4912,0.8572,0.4767
-is_ipsilateral,logreg,38,0.4742,0.8398,0.4588
-graph_stats,logreg,35,0.4621,0.8511,0.4639
+node_prior,hgb,40,0.4578,0.8429,0.4258
-is_ipsilateral,hgb,38,0.4515,0.8306,0.4436
+node_prior,logreg,40,0.4457,0.84,0.3793
-graph_stats,hgb,35,0.4455,0.8428,0.4561
A_only,logreg,24,0.4439,0.8364,0.4314
A_only,hgb,24,0.4373,0.8359,0.4079
raw_minimal,logreg,14,0.4268,0.831,0.4472
raw_minimal,hgb,14,0.3845,0.8268,0.4257
B_only,logreg,20,0.38,0.8058,0.3662
B_only,hgb,20,0.3566,0.804,0.3272
